Layer, Type, Ni, inW, inH, No, outW, outH, Ni/G, dataflowType, preFetch, preFetchAlign, procSize, inPlaneSize, dmaFreq, dmaFreqWt, kernelFreq, In-Read-memSpace, In-Read-accessor, In-Read-pitch, In-Read-width, In-Read-height, In-Read-size, In-Read-accessOffset, In-Read-baseAddress, In-Write-memSpace, In-Write-accessor, In-Write-pitch, In-Write-width, In-Write-height, In-Write-size, In-Write-accessOffset, In-Write-baseAddress, Out-Read-memSpace, Out-Read-accessor, Out-Read-pitch, Out-Read-width, Out-Read-height, Out-Read-size, Out-Read-accessOffset, Out-Read-baseAddress, Out-Write-memSpace, Out-Write-accessor, Out-Write-pitch, Out-Write-width, Out-Write-height, Out-Write-size, Out-Write-accessOffset, Out-Write-baseAddress, Wt-Read-memSpace, Wt-Read-accessor, Wt-Read-pitch, Wt-Read-width, Wt-Read-height, Wt-Read-size, Wt-Read-accessOffset, Wt-Read-baseAddress, Wt-Write-memSpace, Wt-Write-accessor, Wt-Write-pitch, Wt-Write-width, Wt-Write-height, Wt-Write-size, Wt-Write-accessOffset, Wt-Write-baseAddress, Wt-Oneshot-memSpace, Wt-Oneshot-accessor, Wt-Oneshot-pitch, Wt-Oneshot-width, Wt-Oneshot-height, Wt-Oneshot-size, Wt-Oneshot-accessOffset, Wt-Oneshot-baseAddress, 
 0,     Data, 3, 640, 480, 3, 640, 480, 3, FRAME, 0, 0, 1228800, 1228800, 1, 1, 1,,,,,,,,, MSMC, DMA, 1228800, 1228800, 2, 2457600, 0, 0, ,,,,,,,, DDR, CPU, 1228800, 1228800, 3, 3687424, 0, 0, ,,,,,,,, L2, CPU, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 1, DataConvert, 3, 640, 480, 3, 640, 480, 3,  COL, 0, 0, 204800, 1228800, 18, 1, 18,,,,,,,,, L2, DMA, 409600, 409600, 1, 409600, 0, 0, ,,,,,,,, MSMC, CPU, 308963, 308963, 3, 927104, 642, 7e, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 2,     Conv, 3, 640, 480, 8, 640, 480, 3, ROW_L, 1284, 1344, 32256, 308963, 10, 1, 10,,,,,,,,, L2, DMA, 65856, 65856, 3, 455680, 0, 0, ,,,,,,,, MSMC, CPU, 309056, 308963, 8, 2472576, 642, e25fe, ,,,,,,,, L2, DMA, 33, 33, 8, 384, 0, 6f400, MSMC, DMA_ONCE, 33, 33, 8, 384, 0, 354a80, 
 3,     Conv, 8, 640, 480, 8, 640, 480, 8, ROW_L, 1284, 1344, 9216, 308963, 34, 1, 34,,,,,,,,, L2, DMA, 19776, 19776, 8, 453120, 0, 0, ,,,,,,,, MSMC, CPU, 309056, 308963, 8, 2472576, 642, e25fe, ,,,,,,,, L2, DMA, 192, 73, 8, 1536, 0, 6ea00, MSMC, DMA_ONCE, 192, 192, 8, 1536, 0, 354080, 
 4,     Pool, 8, 640, 480, 8, 320, 240, 8,  COL, 0, 0, 153840, 307680, 16, 16, 16,,,,,,,,, L2, DMA, 307680, 307680, 1, 307712, 0, 0, ,,,,,,,, MSMC, CPU, 77683, 77683, 8, 621696, 322, 3e, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 5,     Conv, 8, 320, 240, 16, 320, 240, 8, ROW_L, 644, 704, 24832, 77683, 4, 1, 4,,,,,,,,, L2, DMA, 50368, 50368, 8, 452608, 0, 0, ,,,,,,,, MSMC, CPU, 77760, 77683, 16, 1244288, 322, 97cbe, ,,,,,,,, L2, DMA, 192, 73, 16, 3072, 0, 6e800, MSMC, DMA_ONCE, 192, 192, 16, 3072, 0, 352000, 
 6,     Conv, 16, 320, 240, 16, 320, 240, 16, ROW_L, 644, 704, 11904, 77683, 7, 1, 7,,,,,,,,, L2, DMA, 24512, 24512, 16, 451712, 0, 0, ,,,,,,,, MSMC, CPU, 77760, 77683, 16, 1244288, 322, 97cbe, ,,,,,,,, L2, DMA, 192, 145, 16, 3072, 0, 6e480, MSMC, DMA_ONCE, 192, 192, 16, 3072, 0, 352c00, 
 7,     Conv, 8, 320, 240, 16, 320, 240, 8, ROW_L, 0, 0, 25280, 77040, 4, 1, 4,,,,,,,,, L2, DMA, 50624, 50624, 8, 455552, 0, 0, ,,,,,,,, MSMC, CPU, 77760, 77683, 16, 1244288, 322, 1c793e, ,,,,,,,, L2, DMA, 9, 9, 16, 256, 0, 6f380, MSMC, DMA_ONCE, 9, 9, 16, 256, 0, 354c00, 
 8,  EltWise, 32, 320, 240, 16, 320, 240, 32,  COL, 0, 0, 77040, 77040, 16, 1, 16,,,,,,,,, L2, DMA, 77760, 77760, 2, 311040, 0, 0, ,,,,,,,, MSMC, CPU, 77760, 77683, 16, 1244288, 322, 3e, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 9,     Pool, 16, 320, 240, 16, 160, 120, 16,  COL, 0, 0, 77040, 77040, 8, 1, 8,,,,,,,,, L2, DMA, 77760, 77760, 4, 311040, 0, 0, ,,,,,,,, MSMC, CPU, 19264, 19200, 16, 308352, 0, 12fc80, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 10,     Pool, 16, 160, 120, 16, 80, 60, 16,  COL, 0, 0, 19200, 19200, 1, 1, 1,,,,,,,,, L2, DMA, 19264, 19264, 16, 308224, 0, 0, ,,,,,,,, MSMC, CPU, 5056, 5023, 16, 81024, 82, 2e, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 11,     Conv, 16, 80, 60, 32, 80, 60, 16, ROW_L, 164, 192, 4831, 5023, 1, 1, 1,,,,,,,,, L2, DMA, 5056, 5056, 16, 80896, 0, 0, ,,,,,,,, MSMC, CPU, 5056, 5023, 32, 161920, 82, 13cae, ,,,,,,,, L2, DMA, 192, 145, 32, 6144, 0, 13c00, MSMC, DMA_ONCE, 192, 192, 32, 6144, 0, 350800, 
 12,     Conv, 32, 80, 60, 32, 80, 60, 32, ROW_L, 164, 192, 4831, 5023, 1, 1, 1,,,,,,,,, L2, DMA, 5056, 5056, 32, 161792, 0, 0, ,,,,,,,, MSMC, CPU, 5056, 5023, 32, 161920, 82, 13cae, ,,,,,,,, L2, DMA, 320, 289, 32, 10240, 0, 27800, MSMC, DMA_ONCE, 320, 320, 32, 10240, 0, 34e000, 
 13,     Conv, 16, 80, 60, 32, 80, 60, 16, ROW_L, 0, 0, 4860, 4860, 1, 1, 1,,,,,,,,, L2, DMA, 4928, 4928, 16, 78848, 0, 0, ,,,,,,,, MSMC, CPU, 5056, 5023, 32, 161920, 82, 3b52e, ,,,,,,,, L2, DMA_ONCE, 17, 17, 32, 640, 0, 6f580, ,,,,,,,, 
 14,  EltWise, 64, 80, 60, 32, 80, 60, 64,  COL, 0, 0, 4860, 4860, 1, 1, 1,,,,,,,,, L2, DMA, 5056, 5056, 32, 323584, 0, 0, ,,,,,,,, MSMC, CPU, 5056, 5023, 32, 161920, 82, 2e, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 15,     Pool, 32, 80, 60, 32, 40, 30, 32,  COL, 0, 0, 4860, 4860, 1, 1, 1,,,,,,,,, L2, DMA, 5056, 5056, 32, 161792, 0, 0, ,,,,,,,, MSMC, CPU, 1216, 1200, 32, 39040, 0, 27880, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 16,     Pool, 32, 40, 30, 32, 20, 15, 32,  COL, 0, 0, 1200, 1200, 1, 1, 1,,,,,,,,, L2, DMA, 1216, 1216, 32, 38912, 0, 0, ,,,,,,,, MSMC, CPU, 448, 358, 32, 14464, 22, 70ea, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 17,     Conv, 32, 20, 15, 64, 20, 15, 32, ROW_L, 44, 64, 294, 358, 1, 1, 1,,,,,,,,, L2, DMA, 448, 448, 32, 14336, 0, 0, ,,,,,,,, MSMC, CPU, 448, 358, 64, 28800, 22, 6a, ,,,,,,,, L2, DMA, 320, 289, 64, 20480, 0, 3800, MSMC, DMA_ONCE, 320, 320, 64, 20480, 0, 349000, 
 18,     Conv, 64, 20, 15, 64, 20, 15, 64, ROW_L, 44, 64, 294, 358, 1, 1, 1,,,,,,,,, L2, DMA, 448, 448, 64, 28672, 0, 0, ,,,,,,,, MSMC, CPU, 448, 358, 64, 28800, 22, 6a, ,,,,,,,, L2, DMA, 704, 577, 64, 45056, 0, 7000, MSMC, DMA_ONCE, 704, 704, 64, 45056, 0, 33e000, 
 19,     Conv, 32, 20, 15, 64, 20, 15, 32, ROW_L, 0, 0, 315, 315, 1, 1, 1,,,,,,,,, L2, DMA, 320, 320, 32, 10240, 0, 0, ,,,,,,,, MSMC, CPU, 448, 358, 64, 28800, 22, 70ea, ,,,,,,,, L2, DMA, 33, 33, 64, 2176, 0, 2800, MSMC, DMA_ONCE, 33, 33, 64, 2176, 0, 353800, 
 20,  EltWise, 128, 20, 15, 64, 20, 15, 128,  COL, 0, 0, 315, 315, 1, 1, 1,,,,,,,,, L2, DMA, 448, 448, 64, 57344, 0, 0, ,,,,,,,, MSMC, CPU, 448, 358, 64, 28800, 22, 6a, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 21,     Conv, 64, 20, 15, 16, 20, 15, 64, ROW_L, 0, 0, 315, 315, 1, 1, 1,,,,,,,,, L2, DMA, 320, 320, 64, 20480, 0, 0, MSMC, CPU, 315, 0, 16, 10112, 0, 7080, DDR, DMA, 960, 358, 16, 16384, 22, 6a, ,,,,,,,, L2, DMA, 64, 64, 16, 1024, 0, 5000, MSMC, DMA_ONCE, 64, 64, 16, 1024, 0, 354680, 
 22,     Data, 16, 20, 15, 0, 0, 0, 16, FRAME, 0, 0, 315, 315, 1, 1, 1,,,,,,,,, L2, DMA, 0, 358, 2, 0, 0, 0, ,,,,,,,, DDR, CPU, 1228800, 0, 0, 3687424, 0, 0, ,,,,,,,, L2, CPU, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
